Taxon	Species	Genus	Family	Museum Number	Locality	Formation	Age		Lithology	Grain Size	Specimen Info. I eventually stopped recording this.	Publication. I also eventually stopped recording this.	Notes	Preservational State/Notes	More Notes	Strat Citation		Subperiod	*For questions or copies of photographs corresponding to specimens contact J. Thompson
Archaeocidaris norwoodi	norwoodi	Archaeocidaris	Archaeocidaridae	IU 16715-4	"Colesburt U.S. Geological Survey 7.5 minute geologic quadrangle, carter coordinates 18-P-45, Hardin County, Kentucky. Glade adjacent to, and west of locality 5 (Feldman, 1989)"	"Somerset Shale Member, Salem Limestone"	Visean		Siliciclastic	Fine Grained	Whole Test	"Feldman, 1989"				"Lane and Brenckle, 2005"		Mississippian	
Palaechinus iranensis	iranensis	Palaechinus	Palaechinidae	IUI-8394	"Mobarak Formation, marly shales and limestone slope forming interval, Mississippian, late Tournaisian, below Darvar, Alborz Mountains, Iran; east side of valley, 36o 01' 11"" N, 53o 53' 04"" E."	Mobarak Formation	Tournaisian		Carbonate	?	Partial Test	Webster et al. 2007				Webster et al. 2007		Mississippian	
Palaechinus iranensis	iranensis	Palaechinus	Palaechinidae	IUI-8395	"Mobarak Formation, marly shales and limestone slope forming interval, Mississippian, late Tournaisian, below Darvar, Alborz Mountains, Iran; east side of valley, 36o 01' 11"" N, 53o 53' 04"" E."	Mobarak Formation	Tournaisian		Carbonate	?	Partial Test	Webster et al. 2007				Webster et al. 2007		Mississippian	
Palaechinus iranensis	iranensis	Palaechinus	Palaechinidae	IUI-8396	"Mobarak Formation, marly shales and limestone slope forming interval, Mississippian, late Tournaisian, Alborz Mountains, Iran; east side of road, 35o 47' 28"" N, 53o 19' 02"" E, elevation ~2,347 m. "	Mobarak Formation	Tournaisian		Carbonate	?	Partial Test	Webster et al. 2007				Webster et al. 2007		Mississippian	
Lepidesthes formosus	formosus	Lepidesthes	Lepidesthidae	SUI 12381	"Exposed in a road cut east of Anna, Union County, Southern Illinois; road cut on north side of Illinois 146 one-half mile east of the junction with Interstate 57, in NE 1/4, sec. 30, T. 12S, R. 1 W, Dongola Quadrangle."	"Haney Limestone, Golconda Formation"	Serpukhovian		?	?	Whole Test	"Kesling and Strimple, 1966"				Ettensohn et al. 2003		Mississippian	
Lepidesthes formosus	formosus	Lepidesthes	Lepidesthidae	SUI 12382	"Exposed in a road cut east of Anna, Union County, Southern Illinois; road cut on north side of Illinois 146 one-half mile east of the junction with Interstate 57, in NE 1/4, sec. 30, T. 12S, R. 1 W, Dongola Quadrangle."	"Haney Limestone, Golconda Formation"	Serpukhovian		?	Fine Grained	Whole Test	"Kesling and Strimple, 1966"	Hanley Shale of the Golconda Formation			Ettensohn et al. 2003		Mississippian	
Archaeocidaris newberryi	newberryi	Archaeocidaris	Archaeocidaridae	USNM S3829	"St. Louis, Missouri"	St. Louis Limestone	Visean		Carbonate	Fine Grained	Disarticulated test	"Jackson, 1912"	Hanley Shale of the Golconda Formation			"Lane and Brenckle, 2005"		Mississippian	
Archaeocidaris sp.	sp.	Archaeocidaris	Archaeocidaridae	USNM 43009	"St. Louis, Missouri"	St. Louis Limestone	Visean		Carbonate	Fine Grained	Disarticulated plates and spines	"Jackson, 1912"	Originally described as A. megastyla			"Lane and Brenckle, 2005"		Mississippian	
Archaeocidaris agassizi	agassizi	Archaeocidaris	Archaeocidaridae	"USNM S3825 B,C"	"Burlington, Iowa"	Burlington Limestone	Tournaisian		Carbonate	Grainstone	Semi-Articulated Test	"Jackson, 1912"	Lower Burlington Limestone			"Heckel, 2005"		Mississippian	
Lepidesthes colletti	colletti	Lepidesthes	Lepidesthidae	USNM 135221	"Salem, Washington County, Indiana"	Keokuk Limestone	Visean		?	Fine Grained	Whole Test		Salem Indiana			"Lane and Brenckle, 2005"		Mississippian	
Lepidechinus iowensis	iowensis	Lepidechinus	Lepidocentridae	USNM S 3861	"Burlington, Iowa"	Burlington Limestone	Tournaisian		Carbonate	Grainstone	Whole Test	"Jackson, 1912"	Upper Burlington Limestone			"Heckel, 2005"		Mississippian	
ARCHAEOCIDARIS ALIquantula	aliquantula	Archaeocidaris	Archaeocidaridae	USNM 136458a	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
Lepidechinus cooperi	cooperi	Lepidechinus	Lepidocentridae	USNM 136458 B	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
Lepidechinus cooperi	cooperi	Lepidechinus	Lepidocentridae	USNM 136458 C	"Gilmore City, Iowa"	Gilmore City Formation	Tournaisian		Carbonate	Fine Grained	Whole Test	"Kier,1958"				"Kammer and Matchin, 2008"		Mississippian	
