Taxon,Species,Genus,Family,Museum Number,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Formation_Notes,Age,max_stage,min_stage,Original Order,Finalised_lith,Lithology,Finalised_grainsize,Grain Size,Specimen Info. I eventually stopped recording this.,Publication. I also eventually stopped recording this.,Notes,Preservational State/Notes,More Notes,Strat Citation,,Subperiod,Preservation Score,Description,Period,x,Museum,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidaris aliquantula,aliquantula,Archaeocidaris,Archaeocidaridae,BMNH E32081,"Gilmore City, Iowa",North America,USA,42.741564,-94.44597,Seconds,,Gilmore City Formation,,Gilmore City Formation,Tournaisian,Tournaisian,Tournaisian,1571,Carbonate,Carbonate,Mudstone,mudstone,,,,,,"Kammer and Matchin, 2008",,Mississippian,5,"(ambulacra, interambulacral plates + spines)",Mississippian,,"Natural History Museum, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidaris aliquantula,aliquantula,Archaeocidaris,Archaeocidaridae,BMNH E32082,"Gilmore City, Iowa",North America,USA,42.741564,-94.44597,Seconds,,Gilmore City Formation,,Gilmore City Formation,Tournaisian,Tournaisian,Tournaisian,1572,Carbonate,Carbonate,Mudstone,mudstone,,,,,,"Kammer and Matchin, 2008",,Mississippian,5,"(ambulacra, interambulacral plates + spines)",Mississippian,,"Natural History Museum, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidaris aliquantula,aliquantula,Archaeocidaris,Archaeocidaridae,BMNH E32084,"Gilmore City, Iowa",North America,USA,42.741564,-94.44597,Seconds,,Gilmore City Formation,,Gilmore City Formation,Tournaisian,Tournaisian,Tournaisian,1573,Carbonate,Carbonate,Mudstone,mudstone,,,,,,"Kammer and Matchin, 2008",,Mississippian,5,"(ambulacra, interambulacral plates + spines)",Mississippian,,"Natural History Museum, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidaris aliquantula,aliquantula,Archaeocidaris,Archaeocidaridae,BMNH E32083,"Gilmore City, Iowa",North America,USA,42.741564,-94.44597,Seconds,,Gilmore City Formation,,Gilmore City Formation,Tournaisian,Tournaisian,Tournaisian,1574,Carbonate,Carbonate,Mudstone,mudstone,,,,,,"Kammer and Matchin, 2008",,Mississippian,5,(interambulacral plates + spines),Mississippian,,"Natural History Museum, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidaris aliquantula,aliquantula,Archaeocidaris,Archaeocidaridae,BMNH E 82752,"Gilmore City, Iowa",North America,USA,42.741564,-94.44597,Seconds,,Gilmore City Formation,,Gilmore City Formation,Tournaisian,Tournaisian,Tournaisian,1590,Carbonate,Carbonate,Mudstone,mudstone,,,,,,"Kammer and Matchin, 2008",,Mississippian,5,"(ambulacra, interambulacral plates + spines)",Mississippian,,"Natural History Museum, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidaris aliquantula,aliquantula,Archaeocidaris,Archaeocidaridae,BELUM U8088,"Gilmore City, Iowa",North America,USA,42.741564,-94.44597,Seconds,,Gilmore City Formation,,Gilmore City Formation,Tournaisian,Tournaisian,Tournaisian,1845,Carbonate,Carbonate,Mudstone,mudstone,,,,,,"Kammer and Matchin, 2008",,Mississippian,5,"(ambulacra, interambulacral plates + spines)",Mississippian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidaris legrandensis,legrandensis,Archaeocidaris,Archaeocidaridae,85813,"Gilmore City, Iowa",North America,USA,42.741564,-94.44597,Seconds,,Gilmore City Formation,,Gilmore City Formation,Tournaisian,Tournaisian,Tournaisian,2596,Carbonate,Carbonate,,?,,,"Gilmore City, Iowa",,,,,,5,Interambs and spines,Mississippian,,,Gottingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidaris aliquantula,aliquantula,Archaeocidaris,Archaeocidaridae,13735,"Gilmore City, Iowa",North America,USA,42.741564,-94.44597,Seconds,,Gilmore City Formation,,Gilmore City Formation,Tournaisian,Tournaisian,Tournaisian,2671,Carbonate,Carbonate,,?,,,Iowa,,,,,,5,"interamb plates, spines",Mississippian,,,"University of California, Museum of Paleontology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidechinoides hunti,hunti,Lepidechinoides,Lepidocentridae,USNM 95879a,"Palmer's Gully, 1.5 miles NW of West Edmeston New York",North America,USA,42.777847,-75.304428,Seconds,,Skaneateles Formation,Butternut Member,"Butternut Member, Skaneateles Formation",Givetian,Givetian,Givetian,1202,Siliciclastic,Siliciclastic,Siltstone,Siltstone,,,Skaneateles (Berwyn),,,,,-,5,"(ambulacra, interambulacral plates + spines)",Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidechinoides hunti,hunti,Lepidechinoides,Lepidocentridae,USNM 95879b,"Palmer's Gully, 1.5 miles NW of West Edmeston New York",North America,USA,42.777847,-75.304428,Seconds,,Skaneateles Formation,Butternut Member,"Butternut Member, Skaneateles Formation",Givetian,Givetian,Givetian,1203,Siliciclastic,Siliciclastic,Siltstone,Siltstone,,,Skaneateles (Berwyn),,,,,-,5,"(ambulacra, interambulacral plates + spines)",Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidechinoides hunti,hunti,Lepidechinoides,Lepidocentridae,USNM 95879c,"Palmer's Gully, 1.5 miles NW of West Edmeston New York",North America,USA,42.777847,-75.304428,Seconds,,Skaneateles Formation,Butternut Member,"Butternut Member, Skaneateles Formation",Givetian,Givetian,Givetian,1204,Siliciclastic,Siliciclastic,Siltstone,Siltstone,,,Skaneateles (Berwyn),,,,,-,5,"(ambulacra, interambulacral plates + spines)",Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidechinoides hunti,hunti,Lepidechinoides,Lepidocentridae,USNM 95879d,"Palmer's Gully, 1.5 miles NW of West Edmeston New York",North America,USA,42.777847,-75.304428,Seconds,,Skaneateles Formation,Butternut Member,"Butternut Member, Skaneateles Formation",Givetian,Givetian,Givetian,1205,Siliciclastic,Siliciclastic,Siltstone,Siltstone,,,Skaneateles (Berwyn),,,,,-,5,"(ambulacra, interambulacral plates + spines)",Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidechinoides hunti,hunti,Lepidechinoides,Lepidocentridae,USNM 95879e,"Palmer's Gully, 1.5 miles NW of West Edmeston New York",North America,USA,42.777847,-75.304428,Seconds,,Skaneateles Formation,Butternut Member,"Butternut Member, Skaneateles Formation",Givetian,Givetian,Givetian,1206,Siliciclastic,Siliciclastic,Siltstone,Siltstone,,,Skaneateles (Berwyn),,,,,-,5,"(ambulacra, interambulacral plates + spines)",Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidechinoides hunti,hunti,Lepidechinoides,Lepidocentridae,USNM 95879f,"Palmer's Gully, 1.5 miles NW of West Edmeston New York",North America,USA,42.777847,-75.304428,Seconds,,Skaneateles Formation,Butternut Member,"Butternut Member, Skaneateles Formation",Givetian,Givetian,Givetian,1207,Siliciclastic,Siliciclastic,Siltstone,Siltstone,,,Skaneateles (Berwyn),,,,,-,5,"(ambulacra, interambulacral plates + spines)",Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidechinoides hunti,hunti,Lepidechinoides,Lepidocentridae,USNM 84218,"Palmer's Gully, 1.5 miles NW of West Edmeston New York",North America,USA,42.777847,-75.304428,Seconds,,Skaneateles Formation,Butternut Member,"Butternut Member, Skaneateles Formation",Givetian,Givetian,Givetian,1366,Siliciclastic,Siliciclastic,Siltstone,Siltstone,,,Hamilton (Berwyn),,,,,NA,5,"(ambulacra, interambulacral plates + spines)",Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nortonechinus sp.,sp.,Nortonechinus,Archaeocidaridae,328242,"Creek Bank near SW corner Sec01; 5 mi NW of Dumont, Ingham Township, Franklin County, Iowa",North America,USA,42.81039,-93.055987,Minutes,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,967,,?,,?,,,"Hackberry Grove Shale, Lime Creek Shale",,,,,NA,1,spine,Devonian,,Yale Peabody Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palaechinus strawberryensis,strawberryensis,Palaechinus,Palaechinidae,USNM 487248,"Western Wyoming Wall, Strawberry Creek",North America,USA,42.906576,-110.852898,Seconds,,Lodgepole Formation,,Lodgepole Formation,Tournaisian,Tournaisian,Tournaisian,1021,,?,,?,Lodgepole Limestone,,,,,"Saltzman, 2002",,Mississippian,4,"ambs, interambs",Mississippian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palaechinus strawberryensis,strawberryensis,Palaechinus,Palaechinidae,USNM 487247,"Western Wyoming Wall, Strawberry Creek",North America,USA,42.906576,-110.852898,Seconds,,Lodgepole Formation,,Lodgepole Formation,Tournaisian,Tournaisian,Tournaisian,1022,,?,,?,Lodgepole Limestone,,,,,"Saltzman, 2002",,Mississippian,4,"ambs, interambs",Mississippian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothriocidaris maquoketensis,maquoketensis,Bothriocidaris,Bothriocidaridae,SUI 42701,"Southwest of Eldorado, Fayette Co., Iowa",North America,USA,43.038082,-91.852026,Minutes,Maquoketa Group,Fort Atkinson Formation,,"Fort Atkinson Formation, Maquoketa Group",Katian,Katian,Katian,44,,,,,,,Paratype,Test, Dicellograptus complanatus graptolite zone,"Goldman and Bergstrom, 1997",,NA,,,Ordovician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonocidaris jacksoni,sp.,Devonocidaris,Archaeocidaridae,NHM E16706,"Bird Hill, Cerro Gordo County, Iowa, USA",North America,USA,43.038313,-93.028093,Minutes,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,255,Carbonate,Carbonate,Wackestone,Wackestone,,,"Upper Devonian. Given the locality, is likely from Cerro Gordo Member",,,,,NA,2,(interambulacral plates + spines),Devonian,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonocidaris sp. (jacksoni),sp.,Devonocidaris,Archaeocidaridae,USNM 70830,"Bird Hill, Cerro Gordo County, Iowa, USA",North America,USA,43.038313,-93.028093,Minutes,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,1193,Carbonate,Carbonate,Wackestone,Wackestone,,,"Bird Hill Iowa, Hackberry",,,,,NA,2,(  intermbulacral plates + spines),Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nortonechinus sp. (Xenocidaris americana),?,Nortonechinus,Archaeocidaridae,USNM 71048,"Lime Creek, Rockford Pits, Rockford Iowa",North America,USA,43.04716,-92.976523,Seconds,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,495,,?,,?,,,"Cerro Gordo Substage, Hackberry Stage, Xenocidaris faunule, forming the base of the Hackberry Sandstone",,,,,NA,1,spines,Devonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonocidaris jacksoni?,,,,USNM 373773,"Rockford Brick and Tile Quarry, Rockford, Iowa",North America,USA,43.04716,-92.976523,Seconds,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,492,,?,,?,,,"Rockford Brick and Tile Co. Pit, NW/416 95N- 18W, Rockford, Floyd Co. Iowa, Hackberry (Cerro Gordo)",,,,,NA,1,(interambulacral plate + spines),Devonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nortonechinus sp.,?,Nortonechinus,Archaeocidaridae,USNM 158415,"Rockford Brick and Tile Quarry, Rockford, Iowa",North America,USA,43.04716,-92.976523,Seconds,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,501,,?,,?,,,"Main pit of Rockford Brick and Tile Co., Iowa, Lime Creek Shale Formation",,,,,NA,3,"(ambulacra, interambulacral plates + spines)",Devonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nortonechinus sp.,sp.,Nortonechinus,Archaeocidaridae,USNM 373773,"Rockford Brick and Tile Quarry, Rockford, Iowa",North America,USA,43.04716,-92.976523,Seconds,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,1194,,?,,?,,,"Hackberry (Cerro Gordo) , Rockford Brick and Tile Company Pit. NW 1/4 16-95N 18W, Rockford twp, Floyd Co",,,"Day and Witzke, 2017",,NA,1,(interambulacral plates + spines),Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nortonechinus sp. (primus),?,Nortonechinus,Archaeocidaridae,USNM ?,"Rockford, Iowa",North America,USA,43.04716,-92.976523,Seconds,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,497,,?,,?,,,Hackberry,,,,,NA,1,spine,Devonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nortonechinus sp.,?,Nortonechinus,Archaeocidaridae,USNM 68325,"Rockford, Iowa",North America,USA,43.04716,-92.976523,Seconds,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,500,,?,,?,,,Spirifer Zone,,,,,NA,1,interambs and spines,Devonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nortonechinus sp. (owenensis),?,Nortonechinus,Archaeocidaridae,USNM 71047,"1 Mi. N. of Hanford, Iowa",North America,USA,43.087375,-93.142061,Seconds,,,,Devonian Limestone,,,,499,,?,,?,,,,,,,,NA,1,interambs,Devonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nortonechinus sp. (owenensis),sp.,Nortonechinus,Archaeocidaridae,USNM 71047,"1 Mi. N. of Hanford, Iowa",North America,USA,43.087375,-93.142061,Seconds,,,,Devonian Limestone,,,,1287,,?,,?,,,Limestone,,,,,NA,1,(interambulacral plates),Devonian,,Smithsonian National Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nortonechinus sp.,sp.,Nortonechinus,Archaeocidaridae,67308,"Hackberry Grove, Cerro Gordo County, Iowa",North America,USA,43.092015,-93.066102,Seconds,,Lime Creek Formation,,"Upper Devonian, Frasnian, Lime Creek Formation",Frasnian,Frasnian,Frasnian,964,,?,,?,,,"Hackberry Grove Shale, talus float, Lime Creek Shale",,,,,NA,1,spine,Devonian,,Yale Peabody Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
