Taxon,Species,Genus,Family,Museum Number,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Formation_Notes,Age,max_stage,min_stage,Original Order,Finalised_lith,Lithology,Finalised_grainsize,Grain Size,Specimen Info. I eventually stopped recording this.,Publication. I also eventually stopped recording this.,Notes,Preservational State/Notes,More Notes,Strat Citation,,Subperiod,Preservation Score,Description,Period,x,Museum,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinchuscanchaia kieri,kieri,Vinchuscanchaia,Triadocidaridae,USNM 398521,Vinchuscancha,South America,Peru,-10.666506,-76.328557,Minutes,,,,Probably Late Triassic,,,,2795,,,,,,,,,,,,,3,interamb segment,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinchuscanchaia kieri,kieri,Vinchuscanchaia,Triadocidaridae,USNM 465263,Vinchuscancha,South America,Peru,-10.666506,-76.328557,Minutes,,,,Probably Late Triassic,,,,2796,,,,,,,,,,,,,3,interamb segment,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parvicidaris microapicalis,microapicalis,Parvicidaris,Triadocidaridae,USNM 465266,Vinchuscancha,South America,Peru,-10.666506,-76.328557,Minutes,,,,Probably Late Triassic,,,,2797,,,,,,,,,,,,,4,"ambs, interambs, apical system",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus regularis,regularis,Zardinechinus,Triadocidaridae,USNM 398503,Vinchuscancha,South America,Peru,-10.666506,-76.328557,Minutes,,,,"Probably Late Triassic, Norian",Norian,Norian,Norian,2803,,,,,,,,,,,,,3,"ambs, interambs",Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus regularis,regularis,Zardinechinus,Triadocidaridae,USNM 398504,Vinchuscancha,South America,Peru,-10.666506,-76.328557,Minutes,,,,"Probably Late Triassic, Norian",Norian,Norian,Norian,2804,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus regularis,regularis,Zardinechinus,Triadocidaridae,USNM 398505,Vinchuscancha,South America,Peru,-10.666506,-76.328557,Minutes,,,,"Probably Late Triassic, Norian",Norian,Norian,Norian,2805,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus regularis,regularis,Zardinechinus,Triadocidaridae,USNM 398513,Vinchuscancha,South America,Peru,-10.666506,-76.328557,Minutes,,,,"Probably Late Triassic, Norian",Norian,Norian,Norian,2806,,,,,,,,,,,,,3,interambs,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeocidarid indet (Miocidaris permica),?,?,Archaeocidaridae,numerous I'll use E 81980,"Soempak, Amanoebang Province, Timor, Indonesia",Asia,Indonesia,-9.960427,124.416593,Degrees,Sonnebait Series,,,Permian Sonnebait Series,,,,294,,?,,?,,,,,,,,NA,1,(spines),Permian,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zardinechinus stanleyi,stanleyi,Zardinechinus,Triadocidaridae,USNM 465253,Carhuascancha,South America,Peru,-9.486295,-77.322386,Minutes,,,,"?Sinemurian, early Jurassic",,,,2815,,,,,,,,,,,,,3,interambs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Cidaris"" hausmanni",?,?,?,"? (Smith, 1994)","Nevado Acotambo, Northern Peru, Ned NA-8",South America,Peru,-8.775,-77.12,Minutes,,Chambar Formation,,Chambar Formation,Norian,Norian,Norian,2825,,,,,,,,,,,,,1,spines,Triassic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
